荒川区民会館／サンパール荒川,荒川区役所前,,,
日暮里サニーホール,日暮里,,,
西新井文化ホール／ギャラクシティ,西新井,,,
シアター1010,北千住,,,
東京芸術センター／天空劇場,北千住,,,
かめありリリオホール,亀有,,,
かつしかシンフォニーヒルズ,京成立石,,,
タワーホール船堀,船堀,,,
江戸川区総合文化センター,新小岩,,,
江戸川区葛西区民館,葛西,,,
吉祥寺シアター,吉祥寺,,,
武蔵野市民文化会館,三鷹,,,
武蔵野スイングホール,武蔵境,,,
三鷹市芸術文化センター,三鷹,,,
三鷹市公会堂,三鷹,,,
調布市グリーンホール,調布,,,
調布市文化会館 たづくり,調布,,,
府中グリーンプラザ,府中,,,
府中の森芸術劇場,東府中,,,
国分寺市立いずみホール,西国分寺,,,
くにたち市民芸術小ホール,谷保,,,
立川市市民会館（アミューたちかわ）,立川,,,
日野市民会館,日野,,,
八王子市芸術文化会館 いちょうホール,八王子,,,
八王子市民会館,八王子,,,
八王子市南大沢文化会館,南大沢,,,
八王子市学園都市センター,八王子,,,
狛江エコルマホール,狛江,,,
町田市民ホール,町田,,,
パルテノン多摩,多摩センター,,,
保谷こもれびホール,保谷,,,
ルネこだいら,小平,,,
ハミングホール,東大和市,,,
武蔵村山市民会館 さくらホール,,,,
昭島市民会館,昭島,,,
福生市民会館,牛浜,,,
秋川キララホール,秋川,,,
瑞穂スカイホール,箱根ヶ崎,,,
